quest_id,answer_predict
0,"Album có lượng đơn đặt trước lớn nhất của nhóm nhạc NCT là ""Universe""."
1,Chính phủ đã có những gói hỗ trợ khác nhau trong thời kỳ đại dịch COVID-19.
2,"Ngày 5 tháng 5 âm lịch tại Việt Nam có những tên gọi như ""Tết Đoan ngọ"", ""Tết giết sâu bọ"""
3,"Mục đích phát triển của Shopee là trở thành một sàn thương mại điện tử phát triển chủ yếu trên thiết bị di động, hoạt động như một mạng xã hội phục vụ nhu cầu mua bán mọi lúc, mọi nơi cho người dùng. Shopee tích hợp hệ thống vận hành, giao nhận và hỗ trợ về khâu thanh toán, trở thành bên trung gian giúp việc mua sắm trực tuyến dễ dàng và an toàn hơn cho cả bên mua lẫn bên bán."
4,"Bảo tàng Tôn Đức Thắng đặt tại Quận 1, thành phố Hồ Chí Minh."
5,"Tàu Ever Given đã gặp sự cố nghiêm trọng trong hệ thống điều khiển khiến mũi tàu đâm vào bãi cát ở bờ Đông, còn đuôi tàu thì mắc kẹt trong cát sỏi ở bờ Tây. Con tàu gần như nằm chắn ngang kênh đào ở đoạn dưới hồ Great Bitter. Sự cố này đã làm tắc nghẽn tuyến đường hàng hải quan trọng bậc nhất thế giới, chiếm 12% tổng lưu lượng giao thông hàng hải toàn cầu bị đình trệ trong nhiều ngày."
6,"Quân hàm Đại tướng chỉ được phong cho các sĩ quan cấp cao nắm giữ các chức vụ: Bộ trưởng Bộ Quốc phòng, Tổng Tham mưu trưởng và Chủ nhiệm Tổng cục Chính trị."
7,"Theo thông tin được cung cấp trong đoạn văn, có tổng cộng 888 đô thị ở Việt Nam. Các đô thị này được chia thành sáu loại, bao gồm đô thị loại đặc biệt, đô thị loại I, đô thị loại II, đô thị loại III, đô thị loại IV và đô thị loại V."
8,"Nhà thờ chính tòa Đức Bà Sài Gòn đã trải qua ba cuộc trùng tu. Lần đầu tiên là việc xây dựng thêm phần mái kẽm cho hai tháp chuông vào năm 1895. Lần thứ hai vào năm 1903, mặt tiền nhà thờ được tôn tạo, xây thêm vườn hoa và tượng đài Bá Đa Lộc. Lần thứ ba là lần dựng tượng Đức Bà Hòa Bình vào năm 1959."
9,Trường Y Dược Hà Nội tổ chức kỳ thi nội trú đầu tiên vào năm 1938.
10,"Trong chuyến thăm Bồ Đào Nha, Võ Thị Ánh Xuân dẫn đầu đoàn đại biểu Việt Nam tham dự và phát biểu tại Hội nghị Thượng đỉnh Phụ nữ Toàn cầu năm 2021."
11,Giải vô địch bóng đá thế giới 2014 được tổ chức tại Sân vận động Maracanã ở Rio de Janeiro ở Brazil.
12,"Đột biến nhiễm sắc thể có thể xảy ra do các tác nhân mạnh trong ngoại cảnh (tia phóng xạ, hóa chất, sự biến đổi đột ngột của nhiệt độ) hoặc những rối loạn trong quá trình trao đổi chất nội bào, dẫn đến sự phân li không bình thường của các cặp nhiễm sắc thể."
13,"Tác giả của Nam quốc sơn hà là Lý Thường Kiệt. Bài thơ này được viết bởi Lý Thường Kiệt vào năm 1077, trong cuộc kháng chiến chống lại quân Tống. Bài thơ là một trong những bản Tuyên ngôn độc lập đầu tiên của Việt Nam, khẳng định chủ quyền của nhà cầm quyền Đại Việt trên các vùng đất của mình."
14,"Funimation Entertainment đã phát hành bộ anime One Piece tại Mỹ từ năm 2006 về trước, nhưng do những vấn đề về sửa đổi và cắt bớt quá nhiều so với bản gốc trong anime mà Funimation đã phải ngừng phát sóng."
15,"Câu trả lời cho câu hỏi là ""Hồ Gươm"". Thông tin này được đề cập trong đoạn văn nhất định, trong đó nói rằng ""Rùa tiến về thuyền vua và nói:"" ""Vua nâng gươm hướng về phía Rùa Vàng. Nhanh như cắt, rùa há miệng đớp lấy thanh gươm và lặn xuống nước."" Từ đó, hồ Tả Vọng bắt đầu mang tên là Hồ Gươm hay hồ Hoàn Kiếm."
16,"Theo thông tin được cung cấp trong đoạn văn, ""Bố già"" đã bán được 347 tỷ đồng sau hai ngày mở bán."
17,Vincenzo đã giúp một ông trùm người Trung Quốc cất giữ vàng trong một kho tiền được bảo vệ bởi mafia trong khu phức hợp.
18,"Sau khi bình định toàn bộ Việt Nam, Pháp tiến hành chia nước ta thành ba xứ: Bắc Kỳ, Trung Kỳ và Nam Kỳ."
19,"Tim Berners-Lee là người tạo ra World Wide Web. Ông là nhà vật lý người Anh, người đã thành lập CERN vào năm 1990. Vào ngày 30 tháng 4 năm 1993, CERN thông báo rằng World Wide Web sẽ được cung cấp miễn phí cho bất kỳ ai góp phần vào sự phát triển vượt bậc của Web."
20,"Đập Tam Hiệp nằm ở Tam Đẩu Bình, Nghi Xương, tỉnh Hồ Bắc, Trung Quốc."
21,"Câu trả lời là không. Theo đoạn văn, cầu thủ đứng ở vị trí việt vị không bị coi là phạm luật và chỉ bị xử phạt nếu ở thời điểm đồng đội chuyền bóng hoặc chạm bóng, theo nhận định của trọng tài."
22,Tôn Thất Tùng giữ chức Thứ trưởng Bộ Y Tế trong khoảng thời gian từ năm 2000 đến năm 2005. Ông là đại biểu Quốc hội liên tục từ khóa II đến khóa VII và giữ chức vụ Ủy viên Đoàn Chủ tịch Mặt trận Tổ quốc Việt Nam.
23,Lý thuyết tính toán của Alan Turing cho rằng một cỗ máy có thể mô phỏng bất kỳ hành động suy luận toán học nào có thể hiểu được.
24,"Một số quốc gia sử dụng đô la Mỹ làm đơn vị tiền tệ chính thức, trong đó có Mỹ."
25,"Bà Đào Hồng Lan đã có buổi làm việc với Angela Pratt, Trưởng Đại diện Tổ chức Y tế Thế giới tại Việt Nam để thảo luận về vấn đề đảm bảo sức khỏe toàn dân và hoàn thiện văn kiện hợp tác giữa Việt Nam và Tổ chức Y tế Thế giới."
26,Cộng hòa Dân chủ Đức.
27,"Năm tôn giáo lớn nhất ở Việt Nam là Công giáo, Phật giáo, Hòa Hảo, Tin Lành, và Cao Đài."
28,Phổ Nghi được đưa lên làm Hoàng đế bù nhìn của Đại Mãn Châu Đế quốc ở Đông Bắc Trung Quốc năm 1934.
29,"Ngụy Anh Lạc là một thiếu nữ nhập cung làm cung nữ để điều tra chân tướng cái chết của người chị gái. Cô vô tình bị cuốn vào những cuộc chiến đẫm máu và tàn khốc nơi cung đình. Sau đó, cô được dạy dỗ bởi Phú Sát Dung Âm, người hiền lành đức độ, tuân thủ lễ pháp. Cô trở thành người có địa vị cao nhất hậu cung, thay Càn Long quản lý phi tần, cùng ông hưởng thụ trọn vẹn thời thái bình thịnh thế."
30,"Lục Tiểu Linh Đồng là tên thật của diễn viên đóng Tôn Ngộ Không. Ông là một nhân vật nổi tiếng trong bộ phim Tây du ký, trong đó ông đóng vai Tôn Ngộ Không."
31,"Phim Mắt biếc có sự tham gia diễn xuất của dàn diễn viên phụ gồm Hữu Luân, Khánh Huyền, Huỳnh Mai Cát Tiên, Ngọc Thảo, Thanh Hiền, Xuân Phúc và Phan Bảo Tiên."
32,Bến Tre
33,"Tập sách Đường kách mệnh được xuất bản vào thời vua Tự Đức, tức là vào khoảng cuối thời Lê đầu thời Tây Sơn."
34,Tên lửa đạn đạo là tên lửa có chất nổ được máy tính hoặc người điều khiển sau khi phóng thì chỉ chịu ảnh hưởng của lực hấp dẫn và lực cản của không khí gây ra.
35,"Tế bào là một đơn vị cấu trúc cơ bản có chức năng sinh học của sinh vật sống. Tế bào là đơn vị nhỏ nhất của sự sống có khả năng phân chia độc lập, và các tế bào thường được gọi là ""những viên gạch đầu tiên cấu tạo nên sự sống""."
36,"Ở thực vật, quá trình quang hợp chủ yếu được thực hiện nhờ diệp lục (""chlorophyll"" nghĩa là diệp lục; ""chloro-"" nghĩa là thứ có màu xanh lục. Sắc tố này thường chứa trong các bào quan gọi là lục lạp."
37,"Sốt rét không được coi là một loại đại dịch. Tuy nhiên, nó vẫn là một vấn đề sức khỏe quan trọng ở các khu vực nhiệt đới và cận nhiệt đới, đặc biệt là ở châu Mỹ, châu Á và châu Phi."
38,"TikTok có văn phòng ở Dublin, Los Angeles, Thành phố New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul và Tokyo."
39,"Ông Trần Đại Quang là Bộ trưởng Bộ Công an trong khoảng thời gian từ tháng 1 năm 2011 đến tháng 8 năm 2011. Sau đó, ông được bầu vào Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, được bầu vào Bộ Chính trị và được Thủ tướng Nguyễn Tấn Dũng đề cử làm Bộ trưởng Bộ Công an Việt Nam mới trong chính phủ mới của ông."
40,"Các kỹ xảo trong bộ phim truyền hình Tây du ký được thực hiện bằng sức người với các phương pháp thủ công như dựng phim, ghép hình..."
41,"Đúng vậy, virus corona được xác định là nguyên nhân gây bệnh ở người từ đầu những năm 1970. Virus này chủ yếu gây bệnh ở đường ruột, ngoại trừ viêm phế quản truyền nhiễm gia cầm."
42,"Theo Quyết định số 121-TCTK/PPCĐ ngày 02 tháng 3 năm 1979, có 54 dân tộc và 1 nhóm ""người nước ngoài"" tại Việt Nam."
43,"Nguyễn Thế Trí. Ông sinh ra trong một gia đình có ba người con, ông là con thứ. Anh cả là Nguyễn Văn Sử, ông tên khai sinh là Nguyễn Thế Trí nhưng vì kiêng huý tên ông ngoại là Hoàng Văn Chí mà sửa thành dấu ""sắc"" thành dấu ""nặng"" nên mới có tên gọi như ngày nay, người em gái tên là Nguyễn Thị Thành ốm chết trên đường chạy loạn."
44,"Miền Bắc và Đông Bắc Bắc Bộ Miền Tây Bắc và Bắc Trung Bộ Miền Nam Trung Bộ và Nam Bộ."
45,Giải thưởng Quả bóng vàng châu Âu đã từng hợp nhất với Cầu thủ xuất sắc nhất thế giới của FIFA từ năm 1991 đến năm 2016.
46,Chủ tịch Quốc hội Việt Nam hiện nay là ông Vương Đình Huệ. Ông là Chủ tịch Quốc hội Việt Nam từ năm 2021.
47,"Xã hội nguyên thủy là giai đoạn đầu tiên và dài nhất trong lịch sử phát triển của loài người, từ khi có con người xuất hiện trên Trái Đất đến khi xã hội nguyên thủy chuyển đổi thành xã hội giai cấp và xuất hiện chế độ nhà nước."
48,Erling Haaland hiện đang chơi cho câu lạc bộ Premier League Manchester City và Đội tuyển bóng đá quốc gia Na Uy.
49,"Các dấu hiệu và triệu chứng của hội chứng hô hấp cấp tính nặng bao gồm sốt, đau cơ, triệu chứng hôn mê, ho, đau họng và một số triệu chứng không đặc hiệu."
50,"Đoạn văn đề cập rằng các cải cách kinh tế đã dẫn đến việc thành lập Kinh tế thị trường định hướng xã hội. Những cải cách này bao gồm tự do hóa thị trường, tư nhân hóa các doanh nghiệp nhà nước và tạo ra một sàn giao dịch chứng khoán cho cả doanh nghiệp nhà nước và doanh nghiệp ngoài quốc doanh."
51,Thành phố trực thuộc trung ương (Việt Nam) là một loại hình đơn vị hành chính cấp tỉnh của Việt Nam. Đây là các thành phố nằm dưới sự quản lý của trung ương.
52,Kênh đào Suez được khởi công vào ngày 25 tháng 4 năm 1859 và hoàn thành vào ngày 17 tháng 11 năm 1869.
53,"Tên gọi của cơ quan lập pháp này là Quốc hội, ban đầu được gọi là Quốc dân Đại hội hay Toàn quốc Đại biểu Đại hội. Hiến pháp năm 1946 xác định tên chính thức của cơ quan lập pháp là Nghị viện Nhân dân, nhưng tên gọi này không được công bố/thực thi trong hoàn cảnh chiến tranh. Hiến pháp năm 1959 được thông qua tại kỳ họp thứ 11 (Quốc hội khóa I) và được Chủ tịch nước ký lệnh công bố vào ngày 01 tháng 1 năm 1960. Cho đến nay, tên gọi này là tên gọi cố định cho ""cơ quan đại biểu cao nhất của nhân dân, cơ quan quyền lực nhà nước cao nhất"" của Việt Nam."
54,"Mục đích của Hội nghị là thành lập Đảng Cộng sản Việt Nam, một tổ chức chính trị do Nguyễn Ái Quốc lãnh đạo. Hội nghị được tổ chức từ ngày 6 tháng 1 đến ngày 7 tháng 2 năm 1930 tại Hương Cảng (Hồng Kông), Trung Quốc."
55,"Đúng vậy, Phổ Nghi đã lên ngôi hoàng đế lúc mới 2 tuổi."
56,"Biển xe cơ giới Việt Nam do Bộ Quốc phòng cấp cho các đơn vị, cơ quan thuộc LLVT do Bộ quản lý. Biển xe có nền màu đỏ, chữ và số màu trắng gồm mã (2 chữ cái - như bảng dưới) và 4 chữ số (biểu thị thứ tự, đối với xe máy là 3 chữ số): Trong quân đội còn một số ký hiệu mới mà chưa biết ví dụ như: AN."
57,Qatar đã thắng thầu đăng cai tổ chức Cúp bóng đá châu Á 2023.
58,Số lượng đại biểu của Quốc hội khóa đầu tiên bị giảm so với ngày đầu thành lập vì Quốc hội rút ngắn nhiệm kỳ để tiến hành cuộc Tổng tuyển cử bầu Quốc hội chung của đất nước thống nhất.
59,"Phương pháp lặp phổ biến nhất để tính căn bậc hai mà không dùng máy tính được biết đến với tên gọi ""phương pháp Babylon hay ""phương pháp Heron"" theo tên người đầu tiên mô tả nó, triết gia người Hy Lạp Heron of Alexandria."
60,"Đội tuyển bóng đá quốc gia Argentina đã vô địch 15 mùa World Cup. Họ đã vô địch World Cup năm 1930, World Cup năm 1934, World Cup năm 1938, World Cup năm 1950, World Cup năm 1954, World Cup năm 1962, World Cup năm 1966, World Cup năm 1970, World Cup năm 1974, World Cup năm 1978, World Cup năm 1982, World Cup năm 1986, World Cup năm 1990, World Cup năm 1994, World Cup năm 1998, World Cup năm 2002 và World Cup năm 2006."
61,"Không có thông tin cụ thể về việc sách giáo khoa có thể bao gồm nhiều bộ sách không. Tuy nhiên, có đề cập rằng sách giáo khoa chỉ tồn tại duy nhất cho một môn học từ năm 2002-2020."
62,"Phim Hẹn hò chốn công sở được phát sóng trên SBS TV vào thứ Hai và thứ Ba hàng tuần lúc 22:00 (KST) từ ngày 28 tháng 2 đến ngày 5 tháng 4, 2022."
63,"Lisa là một nữ rapper, ca sĩ, nhạc sĩ và vũ công người Thái Lan. Cô là thành viên nhỏ tuổi nhất của nhóm nhạc nữ Hàn Quốc Blackpink trực thuộc YG Entertainment."
64,"Chợ Giáng sinh là một chợ đường phố truyền thống được tổ chức vào dịp Giáng sinh. Chợ Giáng sinh có nguồn gốc tại Đức và Đông Bắc nước Pháp. Chợ Giáng sinh là một phần văn hóa truyền thống của Đức, Áo và Đông bắc Pháp trong dịp Giáng sinh. Nó cũng được phổ biến đến nhiều quốc gia khác trên thế giới."
65,"Đồng bằng sông Hồng nằm ở khu vực phía bắc và đông bắc của Việt Nam. Nó trải rộng từ vĩ độ 21°34´B (huyện Lập Thạch) đến vùng bãi bồi khoảng 19°5´B (huyện Kim Sơn), từ 105°17´Đ (huyện Ba Vì) đến 107°7´Đ (trên đảo Cát Bà). Toàn vùng có diện tích 21.259,6  km², tỷ lệ khoảng 4,5% tổng diện tích cả nước."
66,"Đại dịch là một loại virus cúm mới lây nhiễm cho con người. Nó có thể lây lan từ động vật sang người và cuối cùng lây lan trên toàn cầu. WHO chia đại dịch thành 6 giai đoạn, mô tả quá trình một loại virus cúm mới nhiễm trùng vài người đầu tiên rồi phát triển thành dịch."
67,"Tính từ là những từ chỉ đặc điểm, tính chất của sự vật, trạng thái."
68,Truyện Kiều được giảng dạy trong môn Ngữ văn lớp 9 và lớp 10.
69,"Chủ tịch Quốc hội là người đứng đầu Ủy ban Thường vụ Quốc hội và đương nhiên là người đứng đầu Quốc hội, do Quốc hội bầu ra từ các Đại biểu Quốc hội. Chủ tịch Quốc hội không được đồng thời là thành viên của Chính phủ. Chủ tịch Quốc hội đầu tiên năm 1946 là Nguyễn Văn Tố. Chủ tịch Quốc hội hiện nay là ông Vương Đình Huệ (2021-nay)."
70,"Ông Đoàn Ngọc Hải nổi tiếng vì ông là người có học vấn cao, sở hữu ba bằng cử nhân đại học. Ông là một người thành công trong lĩnh vực kinh doanh và là một nhân vật nổi tiếng trong cộng đồng người Việt ở Mỹ."
71,"Vào năm 1950, Phổ Nghi được hồi hương do Stalin mong muốn làm ấm lại quan hệ với Mao Trạch Đông."
72,"Đoạn trường tân thanh là một truyện thơ của đại thi hào Nguyễn Du, thường được gọi là Truyện Kiều. Đoạn trường tân thanh là một truyện thơ gồm 3.254 câu, được viết bằng chữ Nôm theo thể lục bát."
73,"Hồ Chí Minh chọn ngày 2 tháng 9 năm 1945 là ngày ra mắt quốc dân vì nó rơi vào ngày Chủ nhật, ngày nghỉ và mọi người được nghỉ việc."
74,"Người Mỹ Latinh có sự đa dạng về tổ tiên, sắc tộc và chủng tộc, và khiến khu vực là một trong những nơi đa dạng chủng tộc nhất thế giới. Người da đỏ chiếm đa số ở một số nước, trong khi người da trắng chiếm ưu thế ở một số nước. Người da đen chiếm ưu thế tại một số nước, trong khi người da đen-da đỏ chiếm ưu thế tại một số nước. Người có nguồn gốc châu Âu là nhóm đơn lẻ lớn nhất, và cùng với những người có một phần gốc Âu, họ chiếm xấp xỉ 80% tổng dân số, hoặc hơn."
75,"Cấu trúc của tòa nhà Landmark 81 là các khối chụm lại với nhau, bao gồm 36 khối có chiều cao khác nhau, được nhóm lại trong một ma trận 6×6."
76,"Sự cố tàu Ever Given trên kênh Suez đã gây ra tắc nghẽn tuyến đường hàng hải quan trọng bậc nhất thế giới, chiếm 12% tổng lưu lượng giao thông hàng hải toàn cầu bị đình trệ trong nhiều ngày. Ước tính có hàng trăm tàu bị kẹt ở Port Said (phía Địa Trung Hải) và hàng trăm tàu khác bị kẹt ở Port Suez (phía Biển Đỏ)."
77,"Câu tiếng Thái mà Thùy Tiên nói trong cuộc thi Hoa hậu Hòa bình Quốc tế 2021 có nghĩa là ""Làm cho thế giới trở thành một nơi tốt đẹp hơn cho tất cả mọi người""."
78,"Thủ môn thường phải mặc màu áo khác với các cầu thủ khác trong đội nhà, đội đối phương, trọng tài và đôi khi là thủ môn của đối phương."
79,"Hệ thống cổ điển của mười hai vị thần trên đỉnh Olympus bao gồm các vị thần sau:
1. Zeus (thần chủ)
2. Hades (thần cai ngục)
3. Poseidon (thần biển)
4. Hestia (thần nấu ăn)
5. Hades (thần cai ngục)
6. Poseidon (thần biển)
7. Hestia (thần nấu ăn)
8. Zeus (thần chủ)
9. Hades (thần cai ngục)
10. Poseidon (thần biển)
11. Hestia (thần nấu ăn)
12. Hades (thần cai ngục)"
80,"Tính đến nay, chức vụ cao nhất của ông Phan Văn Giang từng nắm giữ là Bộ trưởng Bộ Quốc phòng Việt Nam. Ông là Đại tướng, tướng lĩnh người Việt Nam, quân hàm Đại tướng. Ông hiện là Bộ trưởng Bộ Quốc phòng Việt Nam, Đại biểu Quốc hội Việt Nam khóa XV thuộc đoàn đại biểu Quốc hội tỉnh Thái Nguyên. Trong Đảng Cộng sản Việt Nam, ông hiện là Ủy viên Bộ Chính trị khóa XIII, Phó Bí thư Quân ủy Trung ương."
81,Tên lửa hành trình mang đầu đạn hạt nhân.
82,"Hoàn cảnh ra đời ""Truyện Kiều"" của Nguyễn Du là sau khi ông đi sứ Trung Quốc vào năm 1813-1814."
83,"Tiếng Trung Quốc, tiếng Trung, tiếng Hoa, tiếng Hán, tiếng Trung văn, tiếng Hoa ngữ, tiếng Hoa văn, tiếng Hán ngữ, là một nhóm các ngôn ngữ tạo thành một ngữ tộc trong ngữ hệ Hán-Tạng."
84,"Đông Nam Bộ có 5 tỉnh: Bà Rịa – Vũng Tàu, Bình Dương, Bình Phước, Đồng Nai và Tây Ninh."
85,"Hiện nay, trong tiếng Việt có thể phối hợp 2 cách phân loại này."
86,Vạn Lý Trường Thành được khởi công dưới thời nhà Minh vào năm 1368 và hoàn thành vào năm 1644.
87,"Năm 1885, Henry Bessemer đã phát minh ra lò cao có khả năng luyện gang lỏng thành thép."
88,Có. Một ước tính cho thấy coronavirus OC43 lây bệnh cho con người đã chuyển hướng từ coronavirus của bò vào năm 1890.
89,"Tên đĩa đơn đầu tiên của Nhóm Aespa là ""Black Mamba"". Thông tin này được đề cập trong đoạn văn nhất định, trong đó nói rằng ""Aespa aespa (cách điệu: æspa, ) là một nhóm nhạc nữ Hàn Quốc gồm 4 thành viên: Karina, Giselle, Winter và Ningning do công ty giải trí SM Entertainment thành lập và quản lý."""
90,"Áo dài Trần Lệ Xuân được thiết kế bởi bà Trần Lệ Xuân, Đệ Nhất Phu Nhân của nước Việt Nam Cộng Hòa. Bà đã thiết kế ra kiểu áo dài cách tân mới bỏ đi phần cổ áo gọi là áo dài cổ thuyền, cổ hở, cổ khoét, dân gian gọi là ""áo dài Trần Lệ Xuân"" hay ""áo dài bà Nhu""."
91,Trí tuệ nhân tạo là một thuật ngữ được sử dụng để mô tả các chương trình máy tính có khả năng hiểu và hiểu ngôn ngữ và các kỹ năng khác. Nó thường được sử dụng để mô tả các chương trình máy tính có khả năng hiểu và hiểu ngôn ngữ và các kỹ năng khác.
92,"Hội Thanh niên Cách mạng Việt Nam được thành lập từ 9 thành viên của Tâm Tâm xã đã được Nguyễn Ái Quốc giác ngộ. Trong số các thành viên lớp đầu có Hồ Tùng Mậu, Lê Hồng Sơn, Lê Hồng Phong, Vương Thúc Oánh, Trương Vân Lĩnh, Lưu Quốc Long, Lâm Đức Thụ, Nguyễn Thanh Phúc."
93,Dương Tử và Dương Tử. Họ là một cặp đôi trong bộ phim Hương mật tựa khói sương.
94,Bắc Ninh có 17 Trạng nguyên và 622 Tiến sĩ.
95,Kênh đào Suez được hoàn thành vào ngày 17 tháng 11 năm 1869.
96,"Google Dịch được tạo ra để dịch nhiều dạng văn bản và phương tiện như từ, cụm từ và trang web. Ban đầu nó được phát hành dưới dạng bản dịch máy thống kê (Statistical Machine Translation - SMT) và sau đó được giới thiệu ứng dụng Android và phiên bản iOS vào tháng 2 năm 2011. Tính đến tháng 2 năm 2010, nó đã được tích hợp vào các trình duyệt như Chrome và có thể phát âm văn bản, tự động nhận dạng các từ trong hình ảnh và phát hiện các văn bản và ngôn ngữ lạ."
97,Trọng tài sẽ cho đội đối phương hưởng quả phạt gián tiếp tại nơi xảy ra lỗi.
98,Thế vận hội Mùa hè 2020 được tổ chức vào năm 2021 vì nó được tổ chức vào năm 2021.
99,Đội tuyển bóng đá quốc gia Brazil được giữ chiếc cúp Jules Rimet vĩnh viễn vì họ là đội tuyển bóng đá quốc gia do Liên đoàn bóng đá Brazil quản lý và đại diện Brazil tham dự đấu trường quốc tế.
100,"Vị trí địa lý của Trung du và miền núi Bắc Bộ là một lợi thế, vì nó nằm ở phía bắc, phía tây giáp Lào, phía nam và đông nam giáp Bắc Trung Bộ. Vị trí địa lý này đã tạo điều kiện thuận lợi cho giao lưu với các vùng khác trong nước và xây dựng nền kinh tế mở."
101,"Ô nhiễm môi trường là hiện tượng môi trường tự nhiên bị ô nhiễm bởi việc đưa hóa chất gây ô nhiễm vào môi trường tự nhiên, đồng thời các tính chất vật lý, hóa học, sinh học của môi trường bị thay đổi gây tác hại tới sức khỏe con người và các sinh vật khác."
102,"Ông Nguyễn Phú Trọng hiện đang giữ chức vụ Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, Bí thư Quân ủy Trung ương, Ủy viên Thường vụ Đảng ủy Công an Trung ương, Trưởng Ban Chỉ đạo Trung ương về phòng, chống tham nhũng, tiêu cực, Đại biểu Quốc hội Việt Nam khóa XV nhiệm kì 2021 - 2026 và là một trong những Đại biểu thuộc Đoàn Đại biểu Quốc hội thành phố Hà Nội."
103,"Zalo được sử dụng ở các quốc gia như Hoa Kỳ, Nhật Bản, Đài Loan, Hàn Quốc, Úc, Đức, Myanmar và Singapore."
104,"Vạn Lý Trường Thành được xây dựng để bảo vệ Trung Hoa khỏi những cuộc tấn công của người Hung Nô, Mông Cổ, Đột Quyết và những bộ tộc du mục khác đến từ những vùng hiện thuộc Mông Cổ và Mãn Châu."
105,Euro đã được tổ chức tại Pháp ba lần. Giải đấu đầu tiên được tổ chức vào năm 1960 và được tổ chức vào các năm chẵn giữa các giải đấu World Cup. Giải đấu thứ hai được tổ chức vào năm 1968 và được tổ chức vào các năm chẵn giữa các giải đấu World Cup. Giải đấu thứ ba được tổ chức vào năm 1996 và được tổ chức vào các năm chẵn giữa các giải đấu World Cup.
106,Nhiều người đến gặp bà Vanga trong thời gian Thế chiến thứ hai vì bà được biết đến là người có mối quan hệ gần gũi với chính phủ Todor Zhivkov và xuất hiện trên ti vi cùng với những quan chức cấp cao trong Đảng cộng sản.
